sample_time_ms,monotonic_time_ms,rms,peak,energy,smoothed_energy,source,valid
0,1000000,0.2081,0.4004,0.3641,0.2112,pcm_playback,True
17,1000017,0.2429,0.4804,0.4035,0.3227,pcm_playback,True
33,1000033,0.2568,0.5443,0.4186,0.3783,pcm_playback,True
50,1000050,0.2618,0.4733,0.424,0.4048,pcm_playback,True
67,1000067,0.2496,0.5016,0.4109,0.4083,pcm_playback,True
83,1000083,0.2218,0.4749,0.38,0.4032,pcm_playback,True
100,1000100,0.1811,0.3017,0.3317,0.3903,pcm_playback,True
117,1000117,0.1499,0.3062,0.2916,0.3726,pcm_playback,True
133,1000133,0.1299,0.2827,0.2639,0.353,pcm_playback,True
150,1000150,0.132,0.2404,0.267,0.3375,pcm_playback,True
167,1000167,0.1518,0.312,0.294,0.3297,pcm_playback,True
183,1000183,0.1849,0.3782,0.3363,0.3335,pcm_playback,True
200,1000200,0.2136,0.4033,0.3705,0.355,pcm_playback,True
217,1000217,0.2372,0.4724,0.3973,0.3795,pcm_playback,True
233,1000233,0.2405,0.5152,0.4008,0.3919,pcm_playback,True
250,1000250,0.2351,0.4318,0.395,0.3937,pcm_playback,True
267,1000267,0.2135,0.4263,0.3704,0.3895,pcm_playback,True
283,1000283,0.1777,0.3913,0.3274,0.3783,pcm_playback,True
300,1000300,0.1321,0.218,0.267,0.3583,pcm_playback,True
317,1000317,0.0963,0.1993,0.213,0.3321,pcm_playback,True
333,1000333,0.0732,0.1634,0.1731,0.3035,pcm_playback,True
350,1000350,0.0703,0.1278,0.1677,0.2791,pcm_playback,True
367,1000367,0.0847,0.1749,0.1936,0.2637,pcm_playback,True
383,1000383,0.1133,0.2404,0.2396,0.2594,pcm_playback,True
400,1000400,0.1424,0.2757,0.2814,0.2721,pcm_playback,True
417,1000417,0.1686,0.3331,0.3159,0.2975,pcm_playback,True
433,1000433,0.1791,0.3797,0.3292,0.3159,pcm_playback,True
450,1000450,0.1816,0.3296,0.3323,0.3254,pcm_playback,True
467,1000467,0.1697,0.34,0.3174,0.324,pcm_playback,True
483,1000483,0.1441,0.3155,0.2837,0.3167,pcm_playback,True
500,1000500,0.1077,0.1779,0.231,0.3013,pcm_playback,True
517,1000517,0.0769,0.1598,0.1798,0.2794,pcm_playback,True
533,1000533,0.0552,0.1251,0.1376,0.2539,pcm_playback,True
550,1000550,0.0504,0.091,0.1271,0.2311,pcm_playback,True
567,1000567,0.0621,0.1284,0.1518,0.2168,pcm_playback,True
583,1000583,0.09,0.1976,0.2026,0.2143,pcm_playback,True
600,1000600,0.1239,0.2471,0.2552,0.238,pcm_playback,True
617,1000617,0.1603,0.3131,0.3052,0.277,pcm_playback,True
633,1000633,0.1862,0.3849,0.3379,0.3123,pcm_playback,True
650,1000650,0.2077,0.3782,0.3637,0.3421,pcm_playback,True
667,1000667,0.217,0.4409,0.3744,0.3609,pcm_playback,True
683,1000683,0.2111,0.4369,0.3676,0.3648,pcm_playback,True
700,1000700,0.1852,0.3147,0.3367,0.3597,pcm_playback,True
717,1000717,0.0714,0.2309,0.1697,0.3255,pcm_playback,True
733,1000733,0.0354,0.0795,0.0903,0.2832,pcm_playback,True
750,1000750,0.0302,0.0571,0.0753,0.2458,pcm_playback,True
767,1000767,0.028,0.0563,0.0684,0.2138,pcm_playback,True
783,1000783,0.0298,0.0595,0.074,0.1887,pcm_playback,True
800,1000800,0.0342,0.066,0.0871,0.1704,pcm_playback,True
817,1000817,0.0417,0.0813,0.1068,0.1589,pcm_playback,True
833,1000833,0.0488,0.1001,0.1237,0.1526,pcm_playback,True
850,1000850,0.0569,0.105,0.1413,0.1506,pcm_playback,True
867,1000867,0.1071,0.3486,0.2301,0.1967,pcm_playback,True
883,1000883,0.2375,0.4764,0.3976,0.3132,pcm_playback,True
900,1000900,0.2248,0.393,0.3834,0.3539,pcm_playback,True
917,1000917,0.2025,0.414,0.3576,0.356,pcm_playback,True
933,1000933,0.1676,0.3768,0.3147,0.3486,pcm_playback,True
950,1000950,0.1357,0.2655,0.2722,0.3348,pcm_playback,True
967,1000967,0.1046,0.2041,0.2262,0.3153,pcm_playback,True
983,1000983,0.0793,0.1771,0.1841,0.2917,pcm_playback,True
1000,1001000,0.0637,0.1109,0.1551,0.2671,pcm_playback,True
1017,1001017,0.0642,0.126,0.1561,0.2471,pcm_playback,True
1033,1001033,0.0757,0.1568,0.1777,0.2346,pcm_playback,True
1050,1001050,0.0986,0.1874,0.2167,0.2314,pcm_playback,True
1067,1001067,0.1273,0.2639,0.2603,0.2481,pcm_playback,True
1083,1001083,0.1559,0.3141,0.2995,0.278,pcm_playback,True
1100,1001100,0.1708,0.3147,0.3188,0.3017,pcm_playback,True
1117,1001117,0.1761,0.3545,0.3254,0.3154,pcm_playback,True
1133,1001133,0.1646,0.36,0.3108,0.3146,pcm_playback,True
1150,1001150,0.1482,0.2804,0.2893,0.31,pcm_playback,True
1167,1001167,0.1235,0.2435,0.2547,0.3001,pcm_playback,True
1183,1001183,0.094,0.2137,0.2093,0.2837,pcm_playback,True
1200,1001200,0.065,0.1071,0.1575,0.261,pcm_playback,True
1217,1001217,0.0478,0.0975,0.1213,0.2359,pcm_playback,True
1233,1001233,0.0436,0.091,0.1115,0.2135,pcm_playback,True
1250,1001250,0.0557,0.1073,0.1387,0.2,pcm_playback,True
1267,1001267,0.0821,0.1716,0.1891,0.198,pcm_playback,True
1283,1001283,0.1199,0.2589,0.2495,0.2279,pcm_playback,True
1300,1001300,0.156,0.3045,0.2996,0.2695,pcm_playback,True
1317,1001317,0.189,0.372,0.3413,0.3112,pcm_playback,True
1333,1001333,0.2065,0.4338,0.3623,0.3408,pcm_playback,True
1350,1001350,0.2181,0.392,0.3757,0.3611,pcm_playback,True
1367,1001367,0.2167,0.4377,0.3741,0.3686,pcm_playback,True
1383,1001383,0.2016,0.4239,0.3565,0.3664,pcm_playback,True
1400,1001400,0.1715,0.2894,0.3196,0.358,pcm_playback,True
1417,1001417,0.1447,0.2959,0.2845,0.3448,pcm_playback,True
1433,1001433,0.1223,0.2693,0.2529,0.3282,pcm_playback,True
1450,1001450,0.1166,0.21,0.2445,0.3132,pcm_playback,True
1467,1001467,0.1261,0.2579,0.2585,0.3033,pcm_playback,True
1483,1001483,0.1516,0.3126,0.2938,0.3016,pcm_playback,True
1500,1001500,0.1819,0.3506,0.3327,0.3196,pcm_playback,True
1517,1001517,0.2169,0.4263,0.3743,0.3514,pcm_playback,True
1533,1001533,0.2406,0.5022,0.401,0.3802,pcm_playback,True
1550,1001550,0.2614,0.4735,0.4235,0.4053,pcm_playback,True
1567,1001567,0.2683,0.5441,0.4308,0.4201,pcm_playback,True
1583,1001583,0.2571,0.5352,0.4189,0.4199,pcm_playback,True
1600,1001600,0.2219,0.3744,0.3801,0.4127,pcm_playback,True
1617,1001617,0.184,0.3785,0.3352,0.3988,pcm_playback,True
1633,1001633,0.1449,0.3271,0.2847,0.3783,pcm_playback,True
1650,1001650,0.1209,0.2301,0.2509,0.3553,pcm_playback,True
1667,1001667,0.1111,0.2233,0.2363,0.3339,pcm_playback,True
1683,1001683,0.1191,0.2396,0.2483,0.3185,pcm_playback,True
1700,1001700,0.1382,0.2665,0.2756,0.3108,pcm_playback,True
1717,1001717,0.167,0.3269,0.314,0.3126,pcm_playback,True
1733,1001733,0.19,0.3938,0.3426,0.33,pcm_playback,True
1750,1001750,0.2107,0.3831,0.3672,0.3515,pcm_playback,True
1767,1001767,0.2181,0.4427,0.3758,0.3656,pcm_playback,True
1783,1001783,0.207,0.4342,0.3628,0.3651,pcm_playback,True
